id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
10,2026-01-24,2281,69,13,3,791.38,,20710.0
26,2025-07-29,2295,71,11,4,614.46,,36670.97
32,2025-07-28,388,22,6,4,822.52,,
45,2025-12-11,2278,66,3,11,1539.37,240.41,
49,2025-08-11,1122,2,14,4,337.32,69.59,47210.14
50,2025-02-22,717,49,15,10,518.78,,
66,2025-03-04,1352,21,12,6,776.33,147.21,112829.12
99,2025-05-12,490,57,1,1,716.12,159.79,23929.67
104,2025-10-20,3524,7,11,8,149.44,10.64,
122,2025-08-02,318,41,12,5,726.1,161.45,
159,2025-09-04,1637,5,2,5,748.78,,
164,2026-01-16,851,50,13,9,501.92,,81059.4
190,2025-12-07,2854,70,13,4,953.96,,
200,2026-02-12,239,79,11,1,1218.97,181.78,
209,2026-02-07,1974,25,13,9,72.55,,
230,2025-12-19,1245,6,13,3,238.5,,44718.94
280,2025-06-22,1387,76,1,4,154.59,23.6,19097.08
288,2025-07-06,1378,72,4,5,738.72,128.9,
317,2025-01-17,2621,19,2,8,70.91,17.25,
322,2025-08-19,454,75,11,3,850.81,,166822.37
327,2025-06-30,184,7,8,6,256.39,36.77,17389.16
330,2025-07-15,2011,15,10,2,1158.76,,143147.74
337,2025-07-24,3574,35,4,10,1304.27,,
338,2025-06-28,1141,75,3,2,1845.6,92.8,
345,2025-08-11,1606,47,12,1,323.93,38.26,
406,2025-09-22,1393,7,15,3,1384.51,194.9,
414,2025-08-15,2278,72,11,12,867.96,132.06,147649.9
417,2025-10-07,60,35,8,1,620.81,90.95,
422,2025-08-07,181,4,8,5,1880.35,131.37,
429,2026-01-04,1774,50,7,5,987.28,,
431,2025-03-27,21,56,2,11,1414.67,,38629.85
438,2025-08-11,1972,73,12,10,-1778.57,,
443,2025-10-17,2491,60,1,3,566.75,28.78,
483,2025-10-18,1785,66,9,7,1906.65,,
487,2025-06-15,777,20,1,10,1838.94,325.9,250058.9
488,2025-03-29,2538,78,15,4,469.17,,68548.42
498,2025-06-07,843,7,14,11,188.47,19.55,17873.98
514,2026-01-18,687,3,5,1,1046.69,81.8,95894.63
515,2025-03-15,2136,23,11,7,1808.77,450.96,326950.13
549,2025-03-01,2373,37,2,3,1292.38,72.55,
556,2025-09-23,2075,41,5,7,910.0,,
560,2026-01-08,2145,74,6,2,0.0,,
566,2025-02-18,2845,40,6,4,932.58,,
589,2025-03-22,1709,78,7,3,701.62,41.46,
602,2025-04-30,2497,50,2,1,1343.48,274.96,
605,2025-10-03,1360,57,9,12,868.18,,
610,2026-01-19,1252,20,8,4,1498.15,152.4,188713.37
619,2025-06-16,960,23,5,3,1273.06,229.64,183943.29
628,2025-09-07,2464,32,1,12,77.7,,
637,2025-12-12,2618,61,9,9,738.1,,82512.43
666,2025-04-10,1930,34,7,1,355.38,,
671,2025-01-26,2212,62,6,7,1493.07,319.17,283016.51
672,2025-10-15,2629,72,15,11,1656.21,243.95,
675,2025-01-05,1309,1,5,8,304.6,40.62,
679,2025-04-24,2080,36,9,8,916.53,,
684,2025-08-27,1741,32,1,10,1867.34,,
698,2025-11-29,1427,65,1,11,489.27,88.6,28382.47
