id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado,motivo_rechazo
2,2465,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
4,14299,,274.63,ABIERTO,fecha_invalida
5,12908,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
6,5107,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
7,3379,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
9,18118,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
10,19947,,8801.03,CERRADO,fecha_invalida
11,6448,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
12,4096,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
14,8260,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
15,19142,,14533.77,ABIERTO,fecha_invalida
16,16312,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
17,2112,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
18,4445,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
19,5547,,5714.06,CERRADO,fecha_invalida
20,21508,,8867.02,NAN,fecha_invalida
21,8637,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
22,6924,,10436.86,CERRADO,fecha_invalida
23,5261,,6636.22,ABIERTO,fecha_invalida
25,719,,3257.92,NAN,fecha_invalida
26,7930,,1326.94,ABIERTO,fecha_invalida
28,3123,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
29,18397,,1485.06,ABIERTO,fecha_invalida
30,20396,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
31,14500,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
32,20349,,,NAN,"fecha_invalida,monto_invalido_o_vacio"
34,14393,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
35,15273,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
37,504,,,RECHAZADO,"fecha_invalida,monto_invalido_o_vacio"
38,1202,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
39,551,,,ABIERTO,"fecha_invalida,monto_invalido_o_vacio"
40,8220,,,CERRADO,"fecha_invalida,monto_invalido_o_vacio"
